code;product_name_pl;product_name_en;generic_name_en;generic_name_pl;quantity;serving_size;brands;categories;categories_tags;countries;countries_tags;origins_tags;energy-kcal_value;energy-kcal_unit;fat_value;fat_unit;saturated-fat_value;saturated-fat_unit;carbohydrates_value;carbohydrates_unit;sugars_value;sugars_unit;fiber_value;fiber_unit;proteins_value;proteins_unit;salt_value;salt_unit
5901307004102;Ciecierzyca;;;;400 g;1 porcja (86 g);Kotliński Ogródek;Żywność i napoje na bazie roślin, Żywność na bazie roślin, Strączkowe i produkty strączkowe, Konserwy, Strączkowe, Nasiona, Konserwy roślinne w puszkach i słoikach, en:Legume seeds, en:Pulses, Ciecierzyca, en:Canned legumes, Ciecierzyca konserwowa;en:plant-based-foods-and-beverages,en:plant-based-foods,en:legumes-and-their-products,en:canned-foods,en:legumes,en:seeds,en:canned-plant-based-foods,en:legume-seeds,en:pulses,en:chickpeas,en:canned-legumes,en:canned-chickpeas;Polska;en:poland;;93;kcal;1.29;g;0.17;g;12.65;g;0.65;g;;;5.34;g;1;g
5905784351421;Ajvar pikantny;;;;300 g;50 g;Carrefour Sensation,Carrefour,Limpol;Żywność i napoje na bazie roślin, Żywność na bazie roślin, Smarowidła, Roślinne smarowidła, Słone smarowidła, Ajwar, en:Bell pepper sauces, en:Eggplant sauces;en:plant-based-foods-and-beverages,en:plant-based-foods,en:spreads,en:plant-based-spreads,en:salted-spreads,en:ajvar,en:bell-pepper-sauces,en:eggplant-sauces;Polska;en:poland;;65;kcal;3.6;g;0.54;g;6.1;g;4.7;g;1.6;g;1.3;g;1.3;g
3856020233679;Ajvar squeeze ostry;;;;310 g;;Podravka;Żywność i napoje na bazie roślin, Żywność na bazie roślin, Smarowidła, Roślinne smarowidła, Słone smarowidła, Ajwar, en:Bell pepper sauces, en:Eggplant sauces;en:plant-based-foods-and-beverages,en:plant-based-foods,en:spreads,en:plant-based-spreads,en:salted-spreads,en:ajvar,en:bell-pepper-sauces,en:eggplant-sauces;Polska;en:poland;;78;kcal;4;g;0.3;g;8;g;8;g;;;1.5;g;1.5;g
5997264510015;Paprika krém;;;pasta paprykowa;80 g;;Veg Delicatesse;en:pepper paste;en:pepper-paste;Węgry, Polska;en:hungary,en:poland;;27;kcal;0.3;g;0.1;g;4.3;g;1;g;;;1;g;12.5;g
5901688800065;Hot-dog pszenny;;;;4 x 60g;;Dakri;Żywność i napoje na bazie roślin, Żywność na bazie roślin, Zboża i ziemniaki, Chleb, en:Special breads, Bułki hot-dog;en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:special-breads,en:hot-dog-buns;Polska;en:poland;;282;kcal;2.8;g;0.4;g;55;g;5.6;g;;;8.5;g;0.98;g
5902751531237;Orzechy włoskie łuskane;;;;1 kg;;ecobi;Żywność i napoje na bazie roślin, Żywność na bazie roślin, Orzechy i ich produkty, Orzechy, en:Walnuts, en:Dried husked walnut;en:plant-based-foods-and-beverages,en:plant-based-foods,en:nuts-and-their-products,en:nuts,en:walnuts,en:dried-husked-walnut;Polska;en:poland;en:poland;654;kcal;65.2;g;6.1;g;17.7;g;2.6;g;6.7;g;15.2;g;0;g
5906425143856;Sos Mayo Sriracha z chili i czosnkiem;;;;;100 ml;Develey;Przyprawy, Sosy, Pikantne sosy, en:Sriracha, en:Sriracha mayo;en:condiments,en:sauces,en:hot-sauces,en:sriracha,en:sriracha-mayo;Polska;en:poland;;260;kcal;20;g;1.7;g;18;g;14;g;;;1;g;1.9;g
5901425841917;Sok marchew;;;;330 ml;150 ml;Vital Fresh;Żywność i napoje na bazie roślin, Napoje, Napoje na bazie roślin, Żywność i napoje na bazie warzyw, Soki i nektary, Napoje na bazie warzyw, Sok warzywny, Soki marchewkowe;en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:vegetable-based-foods-and-beverages,en:juices-and-nectars,en:vegetable-based-beverages,en:vegetable-juices,en:carrot-juices;Polska;en:poland;;32;kcal;0;g;0;g;6.4;g;6.4;g;1.1;g;0.6;g;0.11;g
5900394010447;Jeżyki coolki dark;;;;;;Goplana;Przekąski, Słodkie przekąski;en:snacks,en:sweet-snacks;Polska;en:poland;;523;kcal;29;g;;;57;g;44;g;;;6.8;g;0.43;g
8714100643334;lody o smaku śmietankowym z sosem czekoladowym (19%) i kawałkami czekolady (2%);;;;508g;51g;BigMilk;Desserts, Frozen foods, Frozen desserts, Ice creams and sorbets, Ice creams, Ice cream in a box;en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams,en:ice-cream-in-a-box;Poland;en:poland;;169;kcal;5.7;g;4.6;g;26;g;21;g;0;g;2.9;g;0.11;g
